superclass,value,n
Diterpenoids,0.7733474969863892,489
Sesquiterpenoids,0.6603615283966064,447
Flavonoids,0.8265492916107178,348
Triterpenoids,0.8443235754966736,342
Tryptophan alkaloids,0.7058258652687073,192
Steroids,0.8542758226394653,188
Oligopeptides,0.8436566591262817,146
Monoterpenoids,0.7166483998298645,119
Meroterpenoids,0.7379909157752991,116
Coumarins,0.7386058568954468,109
Macrolides,0.8077003359794617,109
Polycyclic aromatic polyketides,0.7678663730621338,107
Cyclic polyketides,0.6646302938461304,105
Lignans,0.8042389154434204,98
Linear polyketides,0.8113967180252075,97
Isoflavonoids,0.7756026983261108,94
Tyrosine alkaloids,0.7266329526901245,90
Aromatic polyketides,0.7346131205558777,89
Small peptides,0.6575925946235657,81
Naphthalenes,0.6752798557281494,66
Chromanes,0.6857372522354126,65
Peptide alkaloids,0.7787526249885559,60
Pseudoalkaloids,0.7599738240242004,54
Anthranilic acid alkaloids,0.6631326079368591,45
Lysine alkaloids,0.66664719581604,44
Fatty acyls,0.76934415102005,43
Phenolic acids (C6-C1),0.71104496717453,43
Xanthones,0.7216550707817078,43
Fatty Acids and Conjugates,0.7359148263931274,42
Phenylpropanoids (C6-C3),0.7478657960891724,42
Carotenoids (C40),0.9144048094749451,37
Sesterterpenoids,0.8188133835792542,32
Ornithine alkaloids,0.5768731832504272,30
Nicotinic acid alkaloids,0.6866787075996399,25
Phloroglucinols,0.8359798789024353,24
Stilbenoids,0.7319033741950989,24
Diarylheptanoids,0.8388288021087646,22
Sphingolipids,0.8307793736457825,19
Fatty esters,0.6986558437347412,19
Histidine alkaloids,0.595704972743988,18
Fatty amides,0.8460322618484497,17
Apocarotenoids,0.821206271648407,17
Terphenyls,0.7583503723144531,16
Glycerolipids,0.8884316682815552,14
Polyethers,0.7153408527374268,12
Saccharides,0.6969632506370544,12
Eicosanoids,0.7938128113746643,12
Phenanthrenoids,0.5452661514282227,11
Diphenyl ethers (DPEs),0.6670180559158325,10
Styrylpyrones,0.6821514368057251,10
Nucleosides,0.7022274732589722,10
Proline alkaloids,0.4708663821220398,10
β-lactams,0.6447593569755554,8
Polyols,0.6346309185028076,8
Miscellaneous polyketides,0.5726137161254883,7
Amino acid glycosides,0.8467106819152832,7
Glycerophospholipids,0.8684183359146118,7
Diazotetronic acids and derivatives,0.48921945691108704,6
Octadecanoids,0.8727524876594543,5
Aminosugars and aminoglycosides,0.6212121248245239,4
Serine alkaloids,0.7505252361297607,4
Alkylresorcinols,0.809680700302124,4
Tetramate alkaloids,0.6693665981292725,3
Phenylethanoids (C6-C2),0.5877059102058411,3
Polyprenols,0.7571429014205933,2
γ-lactam-β-lactones,0.8110795021057129,2
Carotenoids (C50),0.8888888955116272,1
Guanidine alkaloids,0.7010309100151062,1
Docosanoids,0.8666666746139526,1
Fatty acyl glycosides,0.8245614171028137,1
